"STATION","NAME","DATE","PRCP","TMAX","TMIN"
"ASN00009021","PERTH AIRPORT, AS","2013-09-15","3.8","17.8","11.0"
"ASN00009021","PERTH AIRPORT, AS","2013-09-16","0.0","21.8","5.9"
"ASN00009021","PERTH AIRPORT, AS","2013-09-17","11.0","17.4","8.7"
"ASN00009021","PERTH AIRPORT, AS","2013-09-18","1.0","19.7","10.8"
"ASN00009021","PERTH AIRPORT, AS","2013-09-19","2.2","20.3","14.8"
"ASN00009021","PERTH AIRPORT, AS","2013-09-20","1.0","21.3","11.6"
"ASN00009021","PERTH AIRPORT, AS","2013-09-21","1.4","21.9","8.9"
"ASN00009021","PERTH AIRPORT, AS","2013-09-22","13.6","18.3","13.5"
"ASN00009021","PERTH AIRPORT, AS","2013-09-23","12.2","20.6","13.3"
"ASN00009021","PERTH AIRPORT, AS","2013-09-24","2.2","20.2","15.4"
"ASN00009021","PERTH AIRPORT, AS","2013-09-25","1.2","19.2","13.7"
"ASN00009021","PERTH AIRPORT, AS","2013-09-26","0.0","20.4","9.1"
"ASN00009021","PERTH AIRPORT, AS","2013-09-27","3.8","19.7","7.6"
"ASN00009021","PERTH AIRPORT, AS","2013-09-28","0.0","20.5","8.2"
"ASN00009021","PERTH AIRPORT, AS","2013-09-29","0.0","20.6","11.1"
"ASN00009021","PERTH AIRPORT, AS","2013-09-30","8.8","17.3","9.4"
"ASN00009021","PERTH AIRPORT, AS","2013-10-01","0.0","18.9","4.0"
"ASN00009021","PERTH AIRPORT, AS","2013-10-02","0.0","26.3","10.4"
"ASN00009021","PERTH AIRPORT, AS","2013-10-03","0.0","29.0","12.1"
"ASN00009021","PERTH AIRPORT, AS","2013-10-04","0.0","21.8","16.1"
"ASN00009021","PERTH AIRPORT, AS","2013-10-05","0.6","22.8","11.0"
"ASN00009021","PERTH AIRPORT, AS","2013-10-06","1.0","22.5","9.7"
"ASN00009021","PERTH AIRPORT, AS","2013-10-07","0.0","23.2","10.3"
"ASN00009021","PERTH AIRPORT, AS","2013-10-08","0.0","23.5","11.1"
"ASN00009021","PERTH AIRPORT, AS","2013-10-09","10.8","20.1","12.6"
"ASN00009021","PERTH AIRPORT, AS","2013-10-10","0.4","21.1","7.2"
"ASN00009021","PERTH AIRPORT, AS","2013-10-11","0.0","21.3","8.5"
"ASN00009021","PERTH AIRPORT, AS","2013-10-12","1.6","19.2","9.7"
"ASN00009021","PERTH AIRPORT, AS","2013-10-13","0.0","21.9","6.5"
"ASN00009021","PERTH AIRPORT, AS","2013-10-14","0.0","25.7","5.7"
"ASN00009021","PERTH AIRPORT, AS","2013-10-15","0.0","21.2","6.6"
"ASN00009021","PERTH AIRPORT, AS","2013-10-16","1.8","21.9","16.2"
"ASN00009021","PERTH AIRPORT, AS","2013-10-17","0.0","22.0","8.6"
"ASN00009021","PERTH AIRPORT, AS","2013-10-18","0.0","23.2","12.7"
"ASN00009021","PERTH AIRPORT, AS","2013-10-19","0.0","19.8","17.4"
"ASN00009021","PERTH AIRPORT, AS","2013-10-20","16.0","19.8","9.8"
"ASN00009021","PERTH AIRPORT, AS","2013-10-21","0.0","21.2","9.1"
"ASN00009021","PERTH AIRPORT, AS","2013-10-22","0.0","24.7","10.3"
"ASN00009021","PERTH AIRPORT, AS","2013-10-23","0.0","26.9","11.3"
"ASN00009021","PERTH AIRPORT, AS","2013-10-24","0.2","27.4","14.0"
"ASN00009021","PERTH AIRPORT, AS","2013-10-25","0.0","24.2","13.0"
"ASN00009021","PERTH AIRPORT, AS","2013-10-26","0.0","25.6","11.9"
"ASN00009021","PERTH AIRPORT, AS","2013-10-27","0.0","28.8","15.0"
"ASN00009021","PERTH AIRPORT, AS","2013-10-28","0.0","29.3","14.3"
"ASN00009021","PERTH AIRPORT, AS","2013-10-29","0.0","31.9","13.9"
"ASN00009021","PERTH AIRPORT, AS","2013-10-30","0.0","37.1","18.1"
"ASN00009021","PERTH AIRPORT, AS","2013-10-31","0.0","26.0","14.4"
"ASN00009021","PERTH AIRPORT, AS","2013-11-01","0.0","27.7","14.4"
"ASN00009021","PERTH AIRPORT, AS","2013-11-02","0.0","29.8","16.6"
"ASN00009021","PERTH AIRPORT, AS","2013-11-03","0.0","33.2","14.8"
"ASN00009021","PERTH AIRPORT, AS","2013-11-04","0.0","33.2","19.4"
"ASN00009021","PERTH AIRPORT, AS","2013-11-05","0.0","24.1","18.3"
"ASN00009021","PERTH AIRPORT, AS","2013-11-06","0.0","25.0","12.4"
"ASN00009021","PERTH AIRPORT, AS","2013-11-07","0.0","27.5","14.2"
"ASN00009021","PERTH AIRPORT, AS","2013-11-08","0.0","29.5","14.1"
"ASN00009021","PERTH AIRPORT, AS","2013-11-09","0.0","33.1","12.4"
"ASN00009021","PERTH AIRPORT, AS","2013-11-10","0.0","36.9","15.3"
"ASN00009021","PERTH AIRPORT, AS","2013-11-11","0.0","31.5","10.7"
"ASN00009021","PERTH AIRPORT, AS","2013-11-12","0.0","29.4","15.1"
"ASN00009021","PERTH AIRPORT, AS","2013-11-13","0.0","30.7","13.9"
"ASN00009021","PERTH AIRPORT, AS","2013-11-14","0.0","32.8","15.1"
"ASN00009021","PERTH AIRPORT, AS","2013-11-15","0.0","33.6","15.8"
"ASN00009021","PERTH AIRPORT, AS","2013-11-16","0.0","37.2","20.2"
"ASN00009021","PERTH AIRPORT, AS","2013-11-17","0.0","28.9","16.9"
"ASN00009021","PERTH AIRPORT, AS","2013-11-18","0.0","24.7","15.4"
"ASN00009021","PERTH AIRPORT, AS","2013-11-19","0.0","25.6","11.6"
"ASN00009021","PERTH AIRPORT, AS","2013-11-20","0.0","28.2","12.9"
"ASN00009021","PERTH AIRPORT, AS","2013-11-21","0.0","31.5","15.7"
"ASN00009021","PERTH AIRPORT, AS","2013-11-22","0.0","32.0","19.9"
"ASN00009021","PERTH AIRPORT, AS","2013-11-23","0.0","27.6","14.2"
"ASN00009021","PERTH AIRPORT, AS","2013-11-24","0.0","25.2","17.9"
"ASN00009021","PERTH AIRPORT, AS","2013-11-25","0.2","25.5","9.2"
"ASN00009021","PERTH AIRPORT, AS","2013-11-26","0.0","29.5","11.1"
"ASN00009021","PERTH AIRPORT, AS","2013-11-27","0.0","31.0","16.3"
"ASN00009021","PERTH AIRPORT, AS","2013-11-28","0.0","31.6","19.1"
"ASN00009021","PERTH AIRPORT, AS","2013-11-29","0.0","25.1","16.7"
