Zone,Ratio
Dominique,0.00138888888888889
Kiribati,0.000980392156862745
Saint-Vincent-et-les Grenadines,0.000917431192660551
Samoa,0.000526315789473684
Sao Tomé-et-Principe,0.000518134715025907
Haïti,0.000504022487157119
Zambie,0.000481463649494463
Zimbabwe,0.00046643109540636
République centrafricaine,0.000433275563258232
République populaire démocratique de Corée,0.000425788310905804
