Zone,Disponibilité alimentaire(Kcal/personne/jour)
Autriche,1376050
Belgique,1364005
Turquie,1353420
États-Unis d'Amérique,1343930
Israël,1317650
Irlande,1314730
Italie,1305970
Luxembourg,1292100
Égypte,1284070
Allemagne,1278595
